# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
13720,5.488,100,2,0
13730,5.492,100,2,0
13740,5.496,100,2,0
13750,5.500,100,2,0
13760,5.504,100,2,0
13770,5.508,100,2,0
13780,5.512,100,2,0
13790,5.516,100,2,0
13800,5.520,100,2,0
13810,5.524,100,2,0
13820,5.528,100,2,0
13830,5.532,100,2,0
13840,5.536,100,2,0
13850,5.540,100,2,0
13860,5.544,100,2,0
13870,5.548,100,2,0
13880,5.552,100,2,0
13890,5.556,100,2,0
13900,5.560,100,2,0
13910,5.564,100,2,0
13920,5.568,100,2,0
13930,5.572,100,2,0
13940,5.576,100,2,0
13950,5.580,100,2,0
13960,5.584,100,2,0
13970,5.588,100,2,0
13980,5.592,100,2,0
13990,5.596,100,2,0
14000,5.600,100,2,0
14010,5.604,100,2,0
14020,5.608,100,2,0
14030,5.612,100,2,0
14040,5.616,100,2,0
14050,5.620,100,2,0
14060,5.624,100,2,0
14070,5.628,100,2,0
14080,5.632,100,2,0
14090,5.636,100,2,0
14100,5.640,100,2,0
14110,5.644,100,2,0
14120,5.648,100,2,0
14130,5.652,100,2,0
14140,5.656,100,2,0
14150,5.660,100,2,0
14160,5.664,100,2,0
14170,5.668,100,2,0
14180,5.672,100,2,0
14190,5.676,100,2,0
14200,5.680,100,2,0
14210,5.684,100,2,0
14220,5.688,100,2,0
14230,5.692,100,2,0
14240,5.696,100,2,0
14250,5.700,100,2,0
14260,5.704,100,2,0
14270,5.708,100,2,0
14280,5.712,100,2,0
14290,5.716,100,2,0
14300,5.720,100,2,0
14310,5.724,100,2,0
14320,5.728,100,2,0
14330,5.732,100,2,0
14340,5.736,100,2,0
14350,5.740,100,2,0
14360,5.744,100,2,0
14370,5.748,100,2,0
14380,5.752,100,2,0
14390,5.756,100,2,0
14400,5.760,100,2,0
14410,5.764,100,2,0
14420,5.768,100,2,0
14430,5.772,100,2,0
14440,5.776,100,2,0
14450,5.780,100,2,0
14460,5.784,100,2,0
14470,5.788,100,2,0
14480,5.792,100,2,0
14490,5.796,100,2,0
14500,5.800,100,2,0
14510,5.804,100,2,0
14520,5.808,100,2,0
14530,5.812,100,2,0
14540,5.816,100,2,0
14550,5.820,100,2,0
14560,5.824,100,2,0
14570,5.828,100,2,0
14580,5.832,100,2,0
14590,5.836,100,2,0
14600,5.840,100,2,0
14610,5.844,100,2,0
14620,5.848,100,2,0
14630,5.852,100,2,0
14640,5.856,100,2,0
14650,5.860,100,2,0
14660,5.864,100,2,0
14670,5.868,100,2,0
14680,5.872,100,2,0
14690,5.876,100,2,0
14700,5.880,100,2,0
14710,5.884,100,2,0
14720,5.888,100,2,0
14730,5.892,100,2,0
14740,5.896,100,2,0
14750,5.900,100,2,0
14760,5.904,100,2,0
14770,5.908,100,2,0
14780,5.912,100,2,0
14790,5.916,100,2,0
14800,5.920,100,2,0
14810,5.924,100,2,0
14820,5.928,100,2,0
14830,5.932,100,2,0
14840,5.936,100,2,0
14850,5.940,100,2,0
14860,5.944,100,2,0
14870,5.948,100,2,0
14880,5.952,100,2,0
14890,5.956,100,2,0
14900,5.960,100,2,0
14910,5.964,100,2,0
14920,5.968,100,2,0
14930,5.972,100,2,0
14940,5.976,100,2,0
14950,5.980,100,2,0
14960,5.984,100,2,0
14970,5.988,100,2,0
14980,5.992,100,2,0
14990,5.996,100,2,0
15000,6.000,100,2,0
15010,6.000,100,2,0
15020,6.000,100,2,0
15030,6.000,100,2,0
15040,6.000,100,2,0
15050,6.000,100,2,0
15060,6.000,100,2,0
15070,6.000,100,2,0
15080,6.000,100,2,0
15090,6.000,100,2,0
15100,6.000,100,2,0
15110,6.000,100,2,0
15120,6.000,100,2,0
15130,6.000,100,2,0
15140,6.000,100,2,0
15150,6.000,100,2,0
15160,6.000,100,2,0
15170,6.000,100,2,0
15180,6.000,100,2,0
15190,6.000,100,2,0
15200,6.000,100,2,0
15210,6.000,100,2,0
15220,6.000,100,2,0
15230,6.000,100,2,0
15240,6.000,100,2,0
15250,6.000,100,2,0
15260,6.000,100,2,0
15270,6.000,100,2,0
15280,6.000,100,2,0
15290,6.000,100,2,0
15300,6.000,100,2,0
15310,6.000,100,2,0
15320,6.000,100,2,0
15330,6.000,100,2,0
15340,6.000,100,2,0
15350,6.000,100,2,0
15360,6.000,100,2,0
15370,6.000,100,2,0
15380,6.000,100,2,0
15390,6.000,100,2,0
15400,6.000,100,2,0
15410,6.000,100,2,0
15420,6.000,100,2,0
15430,6.000,100,2,0
15440,6.000,100,2,0
15450,6.000,100,2,0
15460,6.000,100,2,0
15470,6.000,100,2,0
15480,6.000,100,2,0
15490,6.000,100,2,0
15500,6.000,100,2,0
15510,6.000,100,2,0
15520,6.000,100,2,0
15530,6.000,100,2,0
15540,6.000,100,2,0
15550,6.000,100,2,0
15560,6.000,100,2,0
15570,6.000,100,2,0
15580,6.000,100,2,0
15590,6.000,100,2,0
15600,6.000,100,2,0
15610,6.000,100,2,0
15620,6.000,100,2,0
15630,6.000,100,2,0
15640,6.000,100,2,0
15650,6.000,100,2,0
15660,6.000,100,2,0
15670,6.000,100,2,0
15680,6.000,100,2,0
15690,6.000,100,2,0
15700,6.000,100,2,0
15710,6.000,100,2,0
15720,6.000,100,2,0
15730,6.000,100,2,0
15740,6.000,100,2,0
15750,6.000,100,2,0
15760,6.000,100,2,0
15770,6.000,100,2,0
15780,6.000,100,2,0
15790,6.000,100,2,0
15800,6.000,100,2,0
15810,6.000,100,2,0
15820,6.000,100,2,0
15830,6.000,100,2,0
15840,6.000,100,2,0
15850,6.000,100,2,0
15860,6.000,100,2,0
15870,6.000,100,2,0
15880,6.000,100,2,0
15890,6.000,100,2,0
15900,6.000,100,2,0
15910,6.000,100,2,0
15920,6.000,100,2,0
15930,6.000,100,2,0
15940,6.000,100,2,0
15950,6.000,100,2,0
15960,6.000,100,2,0
15970,6.000,100,2,0
15980,6.000,100,2,0
15990,6.000,100,2,0
16000,6.000,100,2,0
16010,5.996,100,2,0
16020,5.992,100,2,0
16030,5.988,100,2,0
16040,5.984,100,2,0
16050,5.980,100,2,0
16060,5.976,100,2,0
16070,5.972,100,2,0
