# META firmware=d8a4e75;board=ESP32-DevKitC-32E;fr_tl_07=disabled
t_ms,decel_ms2,brake_light_pct,fsm_state,imu_health
6500,2.600,20,1,2
6510,2.604,20,1,2
6520,2.608,20,1,2
6530,2.612,20,1,2
6540,2.616,20,1,2
6550,2.620,20,1,2
6560,2.624,20,1,2
6570,2.628,20,1,2
6580,2.632,20,1,2
6590,2.636,20,1,2
6600,2.640,20,1,2
6610,2.644,20,1,2
6620,2.648,20,1,2
6630,2.652,20,1,2
6640,2.656,20,1,2
6650,2.660,20,1,2
6660,2.664,20,1,2
6670,2.668,20,1,2
6680,2.672,20,1,2
6690,2.676,20,1,2
6700,2.680,20,1,2
6710,2.684,20,1,2
6720,2.688,20,1,2
6730,2.692,20,1,2
6740,2.696,20,1,2
6750,2.700,20,1,2
6760,2.704,20,1,2
6770,2.708,20,1,2
6780,2.712,20,1,2
6790,2.716,20,1,2
6800,2.720,20,1,2
6810,2.724,20,1,2
6820,2.728,20,1,2
6830,2.732,20,1,2
6840,2.736,20,1,2
6850,2.740,20,1,2
6860,2.744,20,1,2
6870,2.748,20,1,2
6880,2.752,20,1,2
6890,2.756,20,1,2
6900,2.760,20,1,2
6910,2.764,20,1,2
6920,2.768,20,1,2
6930,2.772,20,1,2
6940,2.776,20,1,2
6950,2.780,20,1,2
6960,2.784,20,1,2
6970,2.788,20,1,2
6980,2.792,20,1,2
6990,2.796,20,1,2
7000,2.800,20,1,2
7010,2.804,20,1,2
7020,2.808,20,1,2
7030,2.812,20,1,2
7040,2.816,20,1,2
7050,2.820,20,1,2
7060,2.824,20,1,2
7070,2.828,20,1,2
7080,2.832,20,1,2
7090,2.836,20,1,2
7100,2.840,20,1,2
7110,2.844,20,1,2
7120,2.848,20,1,2
7130,2.852,20,1,2
7140,2.856,20,1,2
7150,2.860,20,1,2
7160,2.864,20,1,2
7170,2.868,20,1,2
7180,2.872,20,1,2
7190,2.876,20,1,2
7200,2.880,20,1,2
7210,2.884,20,1,2
7220,2.888,20,1,2
7230,2.892,20,1,2
7240,2.896,20,1,2
7250,2.900,20,1,2
7260,2.904,20,1,2
7270,2.908,20,1,2
7280,2.912,20,1,2
7290,2.916,20,1,2
7300,2.920,20,1,2
7310,2.924,20,1,2
7320,2.928,20,1,2
7330,2.932,20,1,2
7340,2.936,20,1,2
7350,2.940,20,1,2
7360,2.944,20,1,2
7370,2.948,20,1,2
7380,2.952,20,1,2
7390,2.956,20,1,2
7400,2.960,20,1,2
7410,2.964,20,1,2
7420,2.968,20,1,2
7430,2.972,20,1,2
7440,2.976,20,1,2
7450,2.980,20,1,2
7460,2.984,20,1,2
7470,2.988,20,1,2
7480,2.992,20,1,2
7490,2.996,20,1,2
7500,3.000,20,1,2
7510,3.004,20,1,2
7520,3.008,20,1,2
7530,3.012,20,1,2
7540,3.016,20,1,2
7550,3.020,20,1,2
7560,3.024,20,1,2
7570,3.028,20,1,2
7580,3.032,20,1,2
7590,3.036,20,1,2
7600,3.040,20,1,2
7610,3.044,20,1,2
7620,3.048,20,1,2
7630,3.052,20,1,2
7640,3.056,20,1,2
7650,3.060,20,1,2
7660,3.064,20,1,2
7670,3.068,20,1,2
7680,3.072,20,1,2
7690,3.076,20,1,2
7700,3.080,20,1,2
7710,3.084,20,1,2
7720,3.088,20,1,2
7730,3.092,20,1,2
7740,3.096,20,1,2
7750,3.100,20,1,2
7760,3.104,20,1,2
7770,3.108,20,1,2
7780,3.112,20,1,2
7790,3.116,20,1,2
7800,3.120,20,1,2
7810,3.124,20,1,2
7820,3.128,20,1,2
7830,3.132,20,1,2
7840,3.136,20,1,2
7850,3.140,20,1,2
7860,3.144,20,1,2
7870,3.148,20,1,2
7880,3.152,20,1,2
7890,3.156,20,1,2
7900,3.160,20,1,2
7910,3.164,20,1,2
7920,3.168,20,1,2
7930,3.172,20,1,2
7940,3.176,20,1,2
7950,3.180,20,1,2
